conditional,question,npn,existential
7.15482243400038,7.255797310001071,7.184761126998637,7.151414650001243
7.19796846600002,7.24079841099956,7.2116391910021775,7.111612193002657
7.177817486001004,7.2690492019974045,7.147188273000211,7.171802897002635
7.19583436800167,7.215281707998656,7.21808080199844,7.1611321910022525
7.182854107999447,7.2330443449973245,7.161177914000291,7.175457839002775
7.155674515997816,7.232718925999507,7.227375317997939,7.183636400000978
7.178624283998943,7.226702117000968,7.180179001999932,7.162512683997193
7.177866859998176,7.479624237999815,7.194810961998883,7.1808489420000114
7.200218736001261,7.275034821999725,7.203287767999427,7.125340747003065
7.16022477200022,7.223075349000283,7.187051988999883,7.1753412450016185
7.134163814000203,7.228605846998107,7.22512403699875,7.160746007000853
7.146236421001959,7.228819003998069,7.226989338003477,7.270086950000405
7.160014792996662,7.222124021998752,7.231193944000552,7.124311259001843
7.211525244998484,7.251813998998841,7.180497403998743,7.1469359670009
7.153714020001644,7.3015303459978895,7.2638516840015654,7.108516075000807
7.195400404998509,7.2543417650013,7.231815749000816,7.14510651999808
7.207777685998735,7.2462718459973985,7.17225045899977,7.196508705997985
7.147399083998607,7.255136870997376,7.253913307999028,7.134611745001166
7.268871571002819,7.34672999599934,7.198807410997688,7.190307061999192
7.17067266900267,7.292509034999966,7.2222084700006235,7.154904738003097
7.196471842002211,7.3037791549977555,7.224213271998451,7.243055315997481
7.195683259000361,7.225882950999221,7.202631113999814,7.099226761001773
7.213727309997921,7.2363561790007225,7.239489491999848,7.097463813999639
7.189046356998006,7.271987746000377,7.28312557299796,7.167446086998098
7.273315717000514,7.272658216999844,7.170905798000604,7.125754345997848
7.239786797999841,7.34305767999831,7.227953757999785,7.17051687500134
7.162621725998179,7.254630818999431,7.232541461002256,7.158026194996637
7.155877920999046,7.311272995000763,7.229361835998134,7.152454947998194
7.15537211499759,7.289797596997232,7.241373549000855,7.140052350001497
7.172561153998686,7.1936390250011755,7.196792452999944,7.1336685530004615
7.211157730002014,7.228052899998147,7.215172213000187,7.165754356999969
7.184232730000076,7.239441434001492,7.166923231998226,7.119144078002137
7.194590612001775,7.312954000997706,7.206950921998214,7.158283831999142
7.115295010000409,7.165319866002392,7.157068766999146,7.1765507309974055
7.191956673999812,7.265947681000398,7.2195701579985325,7.132746294999379
7.180279191998125,7.269094395000138,7.174749234000046,7.221545864998916
7.151209514999209,7.259560301001329,7.177729211998667,7.17965095999898
7.183082806997845,7.299811376000434,7.201531614999112,7.182939821999753
7.155420995000895,7.294056647999241,7.193304390999401,7.149858812997991
7.132958270001836,7.247293390999403,7.2317923919981695,7.121137859001465
7.1360897539998405,7.264041455000552,7.227882990002399,7.202233771000465
7.156676673999755,7.231564352001442,7.213388603999192,7.13057621400003
7.2146173889996135,7.223957176000113,7.16039578800337,7.1976401370011445
7.175329754998529,7.2863392180006485,7.203772764998575,7.1082105440000305
7.18475774000035,7.265110931999516,7.232124130001466,7.089458256999933
7.1465056170018215,7.223140883997985,7.191136336001364,7.147239800000534
7.262838667000324,7.251216765002027,7.168458870000904,7.12858009699994
7.235189901999547,7.35825093299718,7.220062795000558,7.128496236000501
7.1470522319978045,7.274617146998935,7.222001646001445,7.147080916001869
7.280166847998771,7.28519424499973,7.179289849998895,7.204394192998734
7.170933261000755,7.229713561002427,7.183141839999735,7.142126409999037
7.174392379001802,7.308744588000991,7.313808995997533,7.135163006001676
7.164323853001406,7.213077186999726,7.222559735997493,7.149851752001268
7.183860828001343,7.251748794999003,7.191918380998686,7.186280427999009
7.200215911001578,7.298779117001686,7.2209496760006004,7.137060313998518
7.264306458000647,7.297498769999947,7.265194924999378,7.1945845340014785
7.16927368100005,7.264055047999136,7.160275215002912,7.127431788998365
7.215539419998095,7.249889377002546,7.303628084002412,7.158229093998671
7.165711330999329,7.303193071998976,7.181824568997399,7.135645357997419
7.134709609999845,7.208238754999911,7.175187687997095,7.128717168001458
7.283135114998004,7.267418260998966,7.216980116998457,7.099854370000685
7.13852772500104,7.266533433001314,7.2094641250005225,7.155748473000131
7.1514549710009305,7.232155326000793,7.1814441599999554,7.12003261800055
7.133511514002748,7.221202918000927,7.240298688000621,7.280069003998506
7.192175670003053,7.255394340998464,7.185242522002227,7.1919935699988855
7.21015213499777,7.310435772000346,7.185669911999867,7.1770170260024315
7.193109270003333,7.25967996899999,7.243600587000401,7.186420734000421
7.138612234000902,7.254216066001391,7.226942900000722,7.191942061002919
7.171548840997275,7.338642589998926,7.229399980002199,7.186982729002921
7.1815838089969475,7.232115850001719,7.231313740001497,7.144811991998722
7.216538339002,7.347051562999695,7.278895856001327,7.129082207000465
7.140687677998358,7.248226945997885,7.245702786000038,7.132218038001156
7.2032366060011555,7.263870750997739,7.203514223998354,7.1257055979986035
7.108004355999583,7.252049308997812,7.170754694001516,7.177442855001573
7.164065303000825,7.290383331001067,7.120372007997503,7.209677121001732
7.083791688000929,7.229805433002184,7.180651983999269,7.174946664999879
7.151430154000991,7.271658825000486,7.251711996999802,7.158951739002077
7.179280600001221,7.261446560998593,7.172524069999781,7.116278452998813
7.189806487000169,7.26537894500143,7.175059172001056,7.149547470999096
7.162368032000813,7.230420208998112,7.241228475999378,7.171911151999666
7.193043863000639,7.267611054001463,7.216089933001058,7.137114888002543
7.197890718001872,7.251607034002518,7.167541157999949,7.1754385820022435
7.243694738001068,7.259900368000672,7.222258291996695,7.14837651599737
7.166647140998975,7.292650505998608,7.240890593002405,7.118037165997521
7.168653262997395,7.236451277000015,7.188776189999771,7.180464812001446
7.1793406210017565,7.260300376998202,7.270380715999636,7.153018556000461
7.160238158001448,7.254632871001377,7.1657089719992655,7.171977041998616
7.164205593002407,7.279682364998735,7.209654013000545,7.090817567997874
7.222531843002798,7.253447554001468,7.218113983002695,7.159704595000221
7.115074462999473,7.21666067300248,7.170196233000752,7.138522588000342
7.149769117000687,7.243364502002805,7.230679804997635,7.241206257000158
7.147130216999358,7.255413200000476,7.255407448999904,7.151853539002332
7.20553779599868,7.226510099000734,7.1623174420019495,7.192001983999944
7.191286887999013,7.278885905998322,7.19233448399973,7.145940061000147
7.207589646997803,7.283541521999723,7.217719907999708,7.163558316999115
7.161953787999664,7.242848805002723,7.118810478998057,7.084407384998485
7.087748065001506,7.202341308999166,7.111113140002999,7.075180662999628
7.06293086200094,7.250713599998562,7.176956898001663,7.178616494999005
7.161635119999119,7.272756194000976,7.237351927997224,7.115711558999465
7.138401159998466,7.280435871998634,7.205153818002145,7.131640997999057
